species,species_code,month,type_of_day,sub_region,state,length_mm,length_in,weight_kg,weight_lbs,fishing_mode,area_x
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,874,34.40944882,3.8,8.377556,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,725,28.54330709,2.7,5.952474,Charter Boat,2
RED DRUM,8835440901,2,Weekend,South Atlantic,Florida,484,19.05511811,1.32,2.9100984,Private or Rental Boat,5
KING MACKEREL,8850030501,2,Weekday,South Atlantic,Florida,696,27.4015748,2.46,5.4233652,Charter Boat,1
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,816,32.12598425,3.94,8.6862028,Charter Boat,4
RED DRUM,8835440901,1,Weekday,South Atlantic,Florida,428,16.8503937,0.8,1.763696,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,718,28.26771654,2.7,5.952474,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,626,24.64566929,1.8,3.968316,Charter Boat,1
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,769,30.27559055,3.54,7.8043548,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,825,32.48031496,4.02,8.8625724,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,297,11.69291339,0.34,0.7495708,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,755,29.72440945,3.12,6.8784144,Charter Boat,2
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,753,29.64566929,3.14,6.9225068,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,874,34.40944882,3.8,8.377556,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,850,33.46456693,4.66,10.2735292,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,930,36.61417323,6.74,14.8591388,Charter Boat,2
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,921,36.25984252,6.56,14.4623072,Charter Boat,4
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Mississippi,740,29.13385827,4.02,8.8625724,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,783,30.82677165,3.74,8.2452788,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,699,27.51968504,2.36,5.2029032,Charter Boat,1
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,887,34.92125984,4.54,10.0089748,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,766,30.15748031,3.28,7.2311536,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,824,32.44094488,4.36,9.6121432,Charter Boat,2
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,730,28.74015748,2.95,6.503629,Charter Boat,4
RED DRUM,8835440901,2,Weekday,Gulf of Mexico,Mississippi,740,29.13385827,4.02,8.8625724,Private or Rental Boat,5
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,662,26.06299213,1.94,4.2769628,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,709,27.91338583,2.42,5.3351804,Charter Boat,4
BLACK SEA BASS,8835020301,2,Weekend,Gulf of Mexico,Florida,305,12.00787402,0.28,0.6172936,Private or Rental Boat,4
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Alabama,423,16.65354331,0.8,1.763696,Private or Rental Boat,5
RED DRUM,8835440901,1,Weekend,South Atlantic,North Carolina,575,22.63779528,2.2,4.850164,Private or Rental Boat,2
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,700,27.55905512,2.12,4.6737944,Charter Boat,4
RED DRUM,8835440901,1,Weekday,Gulf of Mexico,Florida,514,20.23622047,1.64,3.6155768,Charter Boat,3
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,857,33.74015748,5.02,11.0671924,Charter Boat,2
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,358,14.09448819,0.5,1.10231,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,252,9.921259843,0.26,0.5732012,Charter Boat,4
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,618,24.33070866,1.68,3.7037616,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,705,27.75590551,2.78,6.1288436,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,625,24.60629921,1.68,3.7037616,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,302,11.88976378,0.36,0.7936632,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,800,31.49606299,4.08,8.9948496,Charter Boat,1
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,461,18.1496063,1.13,2.4912206,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekday,South Atlantic,Florida,651,25.62992126,1.92,4.2328704,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,929,36.57480315,6.82,15.0355084,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,698,27.48031496,2.58,5.6879196,Charter Boat,4
RED DRUM,8835440901,2,Weekday,South Atlantic,North Carolina,620,24.40944882,2.68,5.9083816,Charter Boat,5
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,480,18.8976378,1.66,3.6596692,Charter Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,814,32.04724409,3.78,8.3334636,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,619,24.37007874,1.46,3.2187452,Charter Boat,4
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,670,26.37795276,2.36,5.2029032,Charter Boat,4
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Alabama,406,15.98425197,0.75,1.653465,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,790,31.1023622,4.04,8.9066648,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,844,33.22834646,4.4,9.700328,Charter Boat,2
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,305,12.00787402,0.36,0.7936632,Charter Boat,4
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,730,28.74015748,2.95,6.503629,Charter Boat,4
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Florida,528,20.78740157,1.58,3.4832996,Private or Rental Boat,5
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,283,11.14173228,0.3,0.661386,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,314,12.36220472,0.4,0.881848,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,788,31.02362205,3.54,7.8043548,Charter Boat,4
RED DRUM,8835440901,2,Weekend,South Atlantic,North Carolina,550,21.65354331,2.3,5.070626,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,800,31.49606299,4.5,9.92079,Charter Boat,4
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,514,20.23622047,1.64,3.6155768,Charter Boat,3
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,649,25.5511811,1.86,4.1005932,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,618,24.33070866,1.68,3.7037616,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,895,35.23622047,5.02,11.0671924,Charter Boat,2
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,692,27.24409449,2.12,4.6737944,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,804,31.65354331,3.8,8.377556,Charter Boat,2
BLACK SEA BASS,8835020301,2,Weekend,South Atlantic,Florida,334,13.1496063,0.46,1.0141252,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,735,28.93700787,2.94,6.4815828,Charter Boat,2
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,904,35.59055118,5.74,12.6545188,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,798,31.41732283,3.76,8.2893712,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,983,38.7007874,7.7,16.975574,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,955,37.5984252,7.28,16.0496336,Charter Boat,1
KING MACKEREL,8850030501,1,Weekday,South Atlantic,Florida,780,30.70866142,3.12,6.8784144,Charter Boat,2
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,364,14.33070866,0.5,1.10231,Charter Boat,4
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,645,25.39370079,1.78,3.9242236,Charter Boat,3
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,680,26.77165354,2.27,5.0044874,Charter Boat,4
KING MACKEREL,8850030501,1,Weekday,Gulf of Mexico,Florida,597,23.50393701,1.6,3.527392,Charter Boat,4
RED DRUM,8835440901,1,Weekday,South Atlantic,Florida,453,17.83464567,1.08,2.3809896,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,875,34.4488189,4.84,10.6703608,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,893,35.15748031,5.8,12.786796,Charter Boat,2
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Alabama,596,23.46456693,2.45,5.401319,Private or Rental Boat,5
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,273,10.7480315,0.26,0.5732012,Charter Boat,4
RED DRUM,8835440901,2,Weekday,South Atlantic,North Carolina,535,21.06299213,1.8,3.968316,Charter Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,769,30.27559055,3.54,7.8043548,Charter Boat,2
RED DRUM,8835440901,1,Weekday,Gulf of Mexico,Florida,565,22.24409449,1.92,4.2328704,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,800,31.49606299,4.04,8.9066648,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,825,32.48031496,4.56,10.0530672,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,877,34.52755906,5.12,11.2876544,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,882,34.72440945,4.9,10.802638,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,669,26.33858268,2.1,4.629702,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,769,30.27559055,3.58,7.8925396,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,810,31.88976378,4.6,10.141252,Charter Boat,2
BLACK SEA BASS,8835020301,1,Weekend,South Atlantic,North Carolina,351,13.81889764,0.7,1.543234,Private or Rental Boat,2
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,778,30.62992126,3.32,7.3193384,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,735,28.93700787,2.82,6.2170284,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,720,28.34645669,3,6.61386,Charter Boat,2
BLACK SEA BASS,8835020301,2,Weekend,Gulf of Mexico,Florida,273,10.7480315,0.25,0.551155,Private or Rental Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,349,13.74015748,0.44,0.9700328,Charter Boat,4
BLACK SEA BASS,8835020301,2,Weekend,Gulf of Mexico,Florida,364,14.33070866,0.5,1.10231,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekday,Gulf of Mexico,Florida,295,11.61417323,0.32,0.7054784,Charter Boat,4
BLACK SEA BASS,8835020301,2,Weekday,Gulf of Mexico,Florida,281,11.06299213,0.3,0.661386,Private or Rental Boat,5
