POSTAL CODE,POP2022
28372,12346
28373,2671
28374,19189
28375,184
28376,43457
28377,11548
28378,22
28379,24537
28382,6689
28383,6499
28384,10146
28385,2149
28386,5065
28387,15277
28390,24902
28391,5724
28392,1727
28393,1914
28394,5171
28395,2426
28396,2272
28398,6308
28399,1825
28401,21872
28403,39628
28405,34356
28409,34397
28411,36536
28412,42122
28420,2710
28421,2047
28422,8106
28423,2624
28424,35
28425,10903
28428,6949
28429,8597
28430,2165
28431,6509
28432,1447
28433,4403
28434,385
28435,1964
28436,1469
28438,1490
28439,879
28441,2970
28442,1184
28443,25655
28444,2500
28445,9675
28447,1378
28448,871
28449,2033
28450,2078
28451,42073
28452,541
28453,3559
28454,2769
28455,2245
28456,4001
28457,11281
28458,5481
28460,11666
28461,22255
28462,11862
28463,6999
28464,2388
28465,8228
28466,8470
28467,13185
28468,4645
28469,8828
28470,10645
28472,17854
28478,4424
28479,6333
28480,2899
28501,18635
28504,20321
28508,1736
28509,0
28510,1379
28511,604
28512,3414
28513,9819
28515,2940
28516,10610
28518,7627
28519,510
28520,170
28521,1632
28523,2495
28524,275
28525,2790
28526,2584
28527,1055
28528,606
28529,1776
28530,6572
28531,1104
28532,20301
28533,2729
28537,16
28538,2221
28539,18258
28540,50207
28542,3348
28543,6841
28544,5179
28546,47841
28547,19509
28551,12666
28552,199
28553,444
28554,91
28555,5349
28556,777
28557,15379
28560,28713
28562,38048
28570,21518
28571,2892
28572,6069
28573,1863
28574,19987
28575,207
28577,349
28578,5627
28579,734
28580,12325
28581,153
28582,1750
28584,14197
28585,3830
28586,7470
28587,214
28589,26
28590,26154
28594,3870
28601,53172
28602,29298
28604,7671
28605,3330
28606,1666
28607,35423
28609,5504
28610,10902
28611,150
28612,11154
28613,23916
28615,1717
28616,139
28617,1938
28618,2196
28619,434
28621,9751
28622,2384
28623,1771
28624,1350
28625,38125
28626,3003
28627,1371
28628,34
28629,0
28630,20715
28631,946
28634,5045
28635,3346
28636,4926
28637,1601
28638,11630
28640,5074
28641,56
28642,5380
28643,3978
28644,1134
28645,46424
28646,574
28649,1429
28650,12219
28651,5103
28652,50
28653,25
28654,3142
28655,56692
28657,8201
28658,25561
28659,21460
28660,2326
28662,0
28663,461
28664,167
28665,2780
28666,47
28667,235
28668,165
28669,2662
28670,2451
28671,386
28672,186
28673,6731
28675,6591
28676,3059
28677,36369
28678,5300
28679,2292
28681,25825
28682,1456
28683,1359
28684,1571
28685,2038
28689,2487
28690,9212
28692,4355
28693,1413
28694,6809
28697,13751
28698,2582
28701,5591
28702,488
28704,22399
28705,6708
28707,564
28708,220
28709,2305
28710,0
28711,12574
28712,20199
28713,8579
28714,16529
28715,28859
28716,17007
28717,1381
28718,562
28719,6854
28720,144
28721,10540
28722,6239
28723,10880
28725,93
28726,3924
28729,3616
28730,7776
28731,8506
28732,17705
28733,56
28734,29040
28735,251
28736,895
28739,21244
28740,1727
28741,4209
28742,3000
28743,2301
28745,486
28746,2752
28747,2269
28748,13049
28749,85
28751,4071
28752,30472
28753,9965
28754,9590
28755,0
28756,4244
28757,442
28758,0
28759,7514
28761,7595
28762,6617
28763,2660
28766,896
28768,6720
28770,0
28771,7635
28772,1057
28773,2949
28774,1274
28775,562
28777,10723
28778,11776
28779,18421
28781,914
28782,6420
28783,1433
28785,8124
28786,21927
28787,23208
28788,162
28789,6137
28790,3358
28791,15408
28792,35885
28801,13498
28803,34577
28804,24714
28805,20017
28806,44522
28901,5560
28902,909
28904,10255
28905,3379
28906,19586
28909,365
